trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","20","0006","6 | Saint-Jacques Morinais","0","1012124"
"21696","6","0003","3 | Henri Fréville","0","1050810"
"21697","7","0003","3 | Henri Fréville","0","1054244"
"21698","6","0003","3 | Henri Fréville","0","1050814"
"21699","7","0003","3 | Henri Fréville","0","1054248"
"217","20","0006","6 | Cesson-Sévigné Base de Loisirs","1","1012063"
"2170","23","0032","32 | Triangle","0","1012645"
"21700","6","0003","3 | Henri Fréville","0","1050814"
"21701","7","0003","3 | Henri Fréville","0","1054248"
"21702","6","0003","3 | Henri Fréville","0","1050813"
"21703","7","0003","3 | Henri Fréville","0","1054247"
"21704","6","0003","3 | Henri Fréville","0","1050813"
"21705","7","0003","3 | Henri Fréville","0","1054247"
"21706","6","0003","3 | Henri Fréville","0","1050818"
"21707","7","0003","3 | Henri Fréville","0","1054252"
"21708","6","0003","3 | Henri Fréville","0","1050816"
"21709","7","0003","3 | Henri Fréville","0","1054250"
"2171","25","0032","32 | Triangle","0","1053699"
"21710","6","0003","3 | Henri Fréville","0","1050812"
"21711","7","0003","3 | Henri Fréville","0","1054246"
"21712","6","0003","3 | Henri Fréville","0","1050810"
"21713","7","0003","3 | Henri Fréville","0","1054244"
"21714","6","0003","3 | Henri Fréville","0","1050810"
"21715","7","0003","3 | Henri Fréville","0","1054244"
"21716","6","0003","3 | Saint-Laurent","1","1050818"
"21717","7","0003","3 | Saint-Laurent","1","1054252"
"21718","6","0003","3 | Saint-Laurent","1","1050813"
"21719","7","0003","3 | Saint-Laurent","1","1054247"
"2172","27","0032","32 | Triangle","0","1045901"
"21720","6","0003","3 | Saint-Laurent","1","1050813"
"21721","7","0003","3 | Saint-Laurent","1","1054247"
"21722","6","0003","3 | Saint-Laurent","1","1050818"
"21723","7","0003","3 | Saint-Laurent","1","1054252"
"21724","6","0003","3 | Saint-Laurent","1","1050816"
"21725","7","0003","3 | Saint-Laurent","1","1054250"
"21726","6","0003","3 | Saint-Laurent","1","1050812"
"21727","7","0003","3 | Saint-Laurent","1","1054246"
"21728","6","0003","3 | Saint-Laurent","1","1050810"
"21729","7","0003","3 | Saint-Laurent","1","1054244"
"2173","20","0032","32 | Triangle","0","1011901"
"21730","6","0003","3 | Saint-Laurent","1","1050817"
"21731","7","0003","3 | Saint-Laurent","1","1054251"
"21732","6","0003","3 | Saint-Laurent","1","1050815"
"21733","7","0003","3 | Saint-Laurent","1","1054249"
"21734","6","0003","3 | Saint-Laurent","1","1050817"
"21735","7","0003","3 | Saint-Laurent","1","1054251"
"21736","6","0003","3 | Saint-Laurent","1","1050817"
"21737","7","0003","3 | Saint-Laurent","1","1054251"
"21738","6","0003","3 | Saint-Laurent","1","1050817"
"21739","7","0003","3 | Saint-Laurent","1","1054251"
"2174","21","0032","32 | Triangle","0","1004484"
"21740","6","0003","3 | Saint-Laurent","1","1050815"
"21741","7","0003","3 | Saint-Laurent","1","1054249"
"21742","6","0003","3 | Saint-Laurent","1","1050814"
"21743","7","0003","3 | Saint-Laurent","1","1054248"
"21744","6","0003","3 | Saint-Laurent","1","1050811"
"21745","7","0003","3 | Saint-Laurent","1","1054245"
"21746","6","0003","3 | Saint-Laurent","1","1050813"
"21747","7","0003","3 | Saint-Laurent","1","1054247"
"21748","6","0003","3 | Saint-Laurent","1","1050818"
"21749","7","0003","3 | Saint-Laurent","1","1054252"
"2175","22","0032","32 | Triangle","0","1012135"
"21750","6","0003","3 | Saint-Laurent","1","1050816"
"21751","7","0003","3 | Saint-Laurent","1","1054250"
"21752","6","0003","3 | Saint-Laurent","1","1050812"
"21753","7","0003","3 | Saint-Laurent","1","1054246"
"21754","6","0003","3 | Henri Fréville","0","1050817"
"21755","7","0003","3 | Henri Fréville","0","1054251"
"21756","6","0003","3 | Henri Fréville","0","1050817"
"21757","7","0003","3 | Henri Fréville","0","1054251"
"21758","6","0003","3 | Henri Fréville","0","1050815"
"21759","7","0003","3 | Henri Fréville","0","1054249"
"2176","23","0032","32 | Triangle","0","1012645"
"21760","6","0003","3 | Henri Fréville","0","1050814"
"21761","7","0003","3 | Henri Fréville","0","1054248"
"21762","6","0003","3 | Henri Fréville","0","1050811"
"21763","7","0003","3 | Henri Fréville","0","1054245"
"21764","6","0003","3 | Henri Fréville","0","1050813"
"21765","7","0003","3 | Henri Fréville","0","1054247"
"21766","6","0003","3 | Henri Fréville","0","1050818"
"21767","7","0003","3 | Henri Fréville","0","1054252"
"21768","6","0003","3 | Henri Fréville","0","1050816"
"21769","7","0003","3 | Henri Fréville","0","1054250"
"2177","25","0032","32 | Triangle","0","1053699"
"21770","6","0003","3 | Henri Fréville","0","1050815"
"21771","7","0003","3 | Henri Fréville","0","1054249"
"21772","6","0003","3 | Henri Fréville","0","1050815"
"21773","7","0003","3 | Henri Fréville","0","1054249"
"21774","6","0003","3 | Henri Fréville","0","1050811"
"21775","7","0003","3 | Henri Fréville","0","1054245"
"21776","6","0003","3 | Henri Fréville","0","1050811"
"21777","7","0003","3 | Henri Fréville","0","1054245"
"21778","6","0003","3 | Henri Fréville","0","1050813"
"21779","7","0003","3 | Henri Fréville","0","1054247"
"2178","27","0032","32 | Triangle","0","1045901"
"21780","6","0003","3 | Henri Fréville","0","1050818"
"21781","7","0003","3 | Henri Fréville","0","1054252"
"21782","6","0003","3 | Henri Fréville","0","1050818"
"21783","7","0003","3 | Henri Fréville","0","1054252"
"21784","6","0003","3 | Henri Fréville","0","1050812"
"21785","7","0003","3 | Henri Fréville","0","1054246"
"21786","6","0003","3 | Saint-Laurent","1","1050814"
"21787","7","0003","3 | Saint-Laurent","1","1054248"
"21788","6","0003","3 | Saint-Laurent","1","1050814"
"21789","7","0003","3 | Saint-Laurent","1","1054248"
"2179","20","0032","32 | Triangle","0","1011905"
"21790","6","0003","3 | Saint-Laurent","1","1050811"
"21791","7","0003","3 | Saint-Laurent","1","1054245"
"21792","6","0003","3 | Saint-Laurent","1","1050813"
"21793","7","0003","3 | Saint-Laurent","1","1054247"
"21794","6","0003","3 | Saint-Laurent","1","1050818"
"21795","7","0003","3 | Saint-Laurent","1","1054252"
"21796","6","0003","3 | Saint-Laurent","1","1050816"
"21797","7","0003","3 | Saint-Laurent","1","1054250"
"21798","6","0003","3 | Saint-Laurent","1","1050812"
"21799","7","0003","3 | Saint-Laurent","1","1054246"
"218","21","0006","6 | Cesson-Sévigné Base de Loisirs","1","1005011"
"2180","21","0032","32 | Triangle","0","1004488"
"21800","6","0003","3 | Saint-Laurent","1","1050810"
"21801","7","0003","3 | Saint-Laurent","1","1054244"
"21802","6","0003","3 | Saint-Laurent","1","1050812"
"21803","7","0003","3 | Saint-Laurent","1","1054246"
"21804","6","0003","3 | Saint-Laurent","1","1050812"
"21805","7","0003","3 | Saint-Laurent","1","1054246"
"21806","6","0003","3 | Saint-Laurent","1","1050817"
"21807","7","0003","3 | Saint-Laurent","1","1054251"
"21808","6","0003","3 | Saint-Laurent","1","1050815"
"21809","7","0003","3 | Saint-Laurent","1","1054249"
"2181","22","0032","32 | Triangle","0","1012139"
"21810","6","0003","3 | Saint-Laurent","1","1050814"
"21811","7","0003","3 | Saint-Laurent","1","1054248"
"21812","6","0003","3 | Saint-Laurent","1","1050811"
"21813","7","0003","3 | Saint-Laurent","1","1054245"
"21814","6","0003","3 | Saint-Laurent","1","1050813"
"21815","7","0003","3 | Saint-Laurent","1","1054247"
"21816","6","0003","3 | Saint-Laurent","1","1050818"
"21817","7","0003","3 | Saint-Laurent","1","1054252"
"21818","6","0003","3 | Henri Fréville","0","1050816"
"21819","7","0003","3 | Henri Fréville","0","1054250"
"2182","23","0032","32 | Triangle","0","1012649"
"21820","6","0003","3 | Henri Fréville","0","1050812"
"21821","7","0003","3 | Henri Fréville","0","1054246"
"21822","6","0003","3 | Henri Fréville","0","1050812"
"21823","7","0003","3 | Henri Fréville","0","1054246"
"21824","6","0003","3 | Henri Fréville","0","1050817"
"21825","7","0003","3 | Henri Fréville","0","1054251"
"21826","6","0003","3 | Henri Fréville","0","1050815"
"21827","7","0003","3 | Henri Fréville","0","1054249"
"21828","6","0003","3 | Henri Fréville","0","1050814"
"21829","7","0003","3 | Henri Fréville","0","1054248"
"2183","25","0032","32 | Triangle","0","1054003"
"21830","6","0003","3 | Henri Fréville","0","1050811"
"21831","7","0003","3 | Henri Fréville","0","1054245"
"21832","6","0003","3 | Henri Fréville","0","1050813"
"21833","7","0003","3 | Henri Fréville","0","1054247"
"21834","6","0003","3 | Henri Fréville","0","1050813"
"21835","7","0003","3 | Henri Fréville","0","1054247"
"21836","6","0003","3 | Henri Fréville","0","1050818"
"21837","7","0003","3 | Henri Fréville","0","1054252"
"21838","6","0003","3 | Henri Fréville","0","1050818"
"21839","7","0003","3 | Henri Fréville","0","1054252"
"2184","27","0032","32 | Triangle","0","1045905"
"21840","6","0003","3 | Henri Fréville","0","1050816"
"21841","7","0003","3 | Henri Fréville","0","1054250"
"21842","6","0003","3 | Henri Fréville","0","1050810"
"21843","7","0003","3 | Henri Fréville","0","1054244"
"21844","6","0003","3 | Henri Fréville","0","1050817"
"21845","7","0003","3 | Henri Fréville","0","1054251"
"21846","6","0003","3 | Henri Fréville","0","1050815"
"21847","7","0003","3 | Henri Fréville","0","1054249"
"21848","6","0003","3 | Henri Fréville","0","1050809"
"21849","7","0003","3 | Henri Fréville","0","1054243"
"2185","20","0032","32 | Triangle","0","1011901"
"21850","6","0003","3 | Saint-Laurent","1","1050818"
"21851","7","0003","3 | Saint-Laurent","1","1054252"
"21852","6","0003","3 | Saint-Laurent","1","1050818"
"21853","7","0003","3 | Saint-Laurent","1","1054252"
"21854","6","0003","3 | Saint-Laurent","1","1050816"
"21855","7","0003","3 | Saint-Laurent","1","1054250"
"21856","6","0003","3 | Saint-Laurent","1","1050812"
"21857","7","0003","3 | Saint-Laurent","1","1054246"
"21858","6","0003","3 | Saint-Laurent","1","1050817"
"21859","7","0003","3 | Saint-Laurent","1","1054251"
"2186","21","0032","32 | Triangle","0","1004484"
"21860","6","0003","3 | Saint-Laurent","1","1050815"
"21861","7","0003","3 | Saint-Laurent","1","1054249"
"21862","6","0003","3 | Saint-Laurent","1","1050809"
"21863","7","0003","3 | Saint-Laurent","1","1054243"
"21864","6","0003","3 | Saint-Laurent","1","1050810"
"21865","7","0003","3 | Saint-Laurent","1","1054244"
"21866","6","0003","3 | Saint-Laurent","1","1050817"
"21867","7","0003","3 | Saint-Laurent","1","1054251"
"21868","6","0003","3 | Saint-Laurent","1","1050815"
"21869","7","0003","3 | Saint-Laurent","1","1054249"
"2187","22","0032","32 | Triangle","0","1012135"
"21870","6","0003","3 | Henri Fréville","0","1050812"
"21871","7","0003","3 | Henri Fréville","0","1054246"
"21872","6","0003","3 | Henri Fréville","0","1050810"
"21873","7","0003","3 | Henri Fréville","0","1054244"
"21874","6","0003","3 | Henri Fréville","0","1050817"
"21875","7","0003","3 | Henri Fréville","0","1054251"
"21876","6","0003","3 | Henri Fréville","0","1050815"
"21877","7","0003","3 | Henri Fréville","0","1054249"
"21878","6","0003","3 | Henri Fréville","0","1050815"
"21879","7","0003","3 | Henri Fréville","0","1054249"
"2188","23","0032","32 | Triangle","0","1012645"
"21880","6","0003","3 | Henri Fréville","0","1050809"
"21881","7","0003","3 | Henri Fréville","0","1054243"
"21882","6","0003","3 | Henri Fréville","0","1050814"
"21883","7","0003","3 | Henri Fréville","0","1054248"
"21884","6","0003","3 | Henri Fréville","0","1050811"
"21885","7","0003","3 | Henri Fréville","0","1054245"
"21886","6","0003","3 | Saint-Laurent","1","1050809"
"21887","7","0003","3 | Saint-Laurent","1","1054243"
"21888","6","0003","3 | Saint-Laurent","1","1050814"
"21889","7","0003","3 | Saint-Laurent","1","1054248"
"2189","25","0032","32 | Triangle","0","1053699"
"21890","6","0003","3 | Saint-Laurent","1","1050811"
"21891","7","0003","3 | Saint-Laurent","1","1054245"
"21892","6","0003","3 | Saint-Laurent","1","1050813"
"21893","7","0003","3 | Saint-Laurent","1","1054247"
"21894","6","0003","3 | Saint-Laurent","1","1050811"
"21895","7","0003","3 | Saint-Laurent","1","1054245"
"21896","6","0003","3 | Saint-Laurent","1","1050820"
"21897","7","0003","3 | Saint-Laurent","1","1054254"
